Date,Close/Last,Volume,Open,High,Low
06/14/2019,49.54,79483,49.77,49.77,49.2601
06/13/2019,50.05,42047,49.81,50.07,49.6895
06/12/2019,49.59,32919,49.73,49.86,49.33
06/11/2019,49.82,45964,50.53,50.60,49.45
06/10/2019,49.87,313221,49.88,50.73,49.84
06/07/2019,49.26,70850,48.74,49.51,48.74
06/06/2019,48.50,88531,48.23,48.645,47.9404
06/05/2019,48.46,104230,48.45,48.66,47.6105
06/04/2019,48.06,275370,46.89,48.06,46.71
06/03/2019,46.29,485031,47.59,47.879,45.96
05/31/2019,47.59,159613,47.75,48.0503,47.51
05/30/2019,48.73,39285,48.90,49.1099,48.51
05/29/2019,48.71,142618,48.83,49.05,48.22
05/28/2019,49.13,57316,49.28,49.78,49.06
05/24/2019,49.07,102635,49.50,49.67,49.0358
05/23/2019,49.05,138292,49.75,49.83,48.62
05/22/2019,50.38,320962,50.61,51.0373,50.38
05/21/2019,50.81,68203,50.24,50.9241,50.24
05/20/2019,49.98,128634,50.11,50.36,49.62
05/17/2019,50.97,134895,51.58,51.8864,50.8801
05/16/2019,52.41,67496,52.05,52.89,51.94
05/15/2019,51.99,70409,50.79,52.07,50.79
05/14/2019,51.15,79817,50.52,51.4999,50.4022
05/13/2019,50.13,201726,51.07,51.31,50.081
05/10/2019,52.44,73452,52.27,52.69,51.33
05/09/2019,52.36,162715,52.00,52.64,51.06
05/08/2019,52.78,160031,52.43,53.25,52.43
05/07/2019,52.74,109321,53.70,53.96,52.2401
05/06/2019,54.26,98427,52.81,54.34,52.38
05/03/2019,54.28,177901,53.41,54.29,53.285
05/02/2019,53.10,100198,53.05,53.33,52.39
05/01/2019,53.30,105780,53.75,54.11,53.26
04/30/2019,53.37,75013,53.17,53.67,52.91
04/29/2019,53.35,50922,53.01,53.54,53.01
04/26/2019,52.96,97386,53.04,53.1203,52.5038
04/25/2019,53.05,50609,53.56,53.56,52.7549
04/24/2019,53.62,65349,54.20,54.20,53.57
04/23/2019,54.18,106066,53.24,54.34,53.24
04/22/2019,53.03,81112,52.36,53.0887,52.36
04/18/2019,52.63,60218,52.81,52.81,52.17
04/17/2019,52.80,115466,53.75,53.75,52.58
04/16/2019,53.34,146811,53.12,53.50,53.04
04/15/2019,52.82,60879,53.25,53.32,52.50
04/12/2019,53.29,74188,53.71,53.71,53.23
04/11/2019,53.33,163863,53.71,53.71,53.21
04/10/2019,53.75,72856,53.35,53.80,53.35
04/09/2019,53.18,52062,53.45,53.62,53.1767
04/08/2019,53.59,88185,53.43,53.6897,53.20
04/05/2019,53.43,75172,53.09,53.50,53.09
04/04/2019,52.81,105853,53.29,53.38,52.277
04/03/2019,53.62,116219,53.13,54.04,53.13
04/02/2019,52.80,61841,52.72,52.8663,52.50
04/01/2019,52.69,120244,52.49,52.74,52.15
03/29/2019,51.81,124098,51.62,51.8726,51.4267
03/28/2019,51.14,35770,50.77,51.25,50.53
03/27/2019,50.59,71670,51.30,51.56,50.03
03/26/2019,51.30,69095,51.79,52.0197,50.9395
03/25/2019,51.19,108411,51.04,51.35,50.59
03/22/2019,51.35,114684,52.71,52.9559,51.311
03/21/2019,53.12,118615,51.76,53.1773,51.73
03/20/2019,51.98,71533,51.97,52.30,51.3532
03/19/2019,51.90,139149,51.83,52.11,51.72
03/18/2019,51.56,183395,51.63,51.99,51.20
03/15/2019,51.52,51871,51.54,51.79,51.37
03/14/2019,51.39,42892,51.77,51.85,51.3701
03/13/2019,51.90,91666,51.79,52.20,51.54
03/12/2019,51.54,76652,51.45,51.76,51.16
03/11/2019,51.33,396056,49.96,51.3399,49.96
03/08/2019,49.70,130377,48.96,49.7251,48.63
03/07/2019,49.83,126155,50.40,50.41,49.6762
03/06/2019,50.46,81912,51.33,51.33,50.4204
03/05/2019,51.22,78605,50.85,51.44,50.60
03/04/2019,50.89,250500,52.03,52.19,50.16
03/01/2019,51.66,130697,52.29,52.29,51.3347
02/28/2019,51.94,53756,51.92,52.05,51.42
02/27/2019,52.10,72187,51.56,52.15,51.19
02/26/2019,51.55,60469,51.66,51.90,51.38
02/25/2019,51.93,176372,52.30,52.63,51.8308
02/22/2019,51.72,112735,50.87,51.72,50.87
